Test,Seed,Reads,Writes,Runs,Total,Matches,Miss-Matches,UVM_INFO,UVM_WARNING,UVM_ERROR,UVM_FATAL,Coverage
direct_test_seq_wr,305550830,4373,8852,3726,30651,30651,0,3,0,0,0,92.41
test_top,582398412,9983,914,9004,81495,81495,0,3,0,0,0,83.72
direct_test_seq_wr,644875931,3149,7385,3866,32193,32193,0,3,0,0,0,93.03
direct_test_seq_wr,481630410,2565,4733,1804,15063,15063,0,3,0,0,0,88.96
direct_test_seq_wr,108910843,2228,6415,6634,54730,54730,0,3,0,0,0,95.59
direct_test_seq_wr,330569193,418,4952,1197,9799,9799,0,3,0,0,0,86.39
test_top,978231155,4651,3935,1764,38221,38221,0,3,0,0,0,87.37
test_top,939152788,9322,7238,4270,76610,76610,0,3,0,0,0,87.65
direct_test_seq_wr,611136275,6389,572,168,1314,1314,0,3,0,0,0,80.45
test_top,133533006,4577,8511,6303,37826,37826,0,3,0,0,0,87.67
Total Coverage,,,,,,,,,,,,99.19
